_0000000 0438191033483                              Sylvie Inge M 0502
_0000000 1612194591264                             Bobby Baylon M 0505
_0000000 1806191055751                              May Salazar M 0107
_0000000 0135199077847                           Brendan Aguayo M 0308
_0000000 0222197177833                           Young Schuelke F 1601
_0000000 1834195103996                             Clora Mattix F 0306
_0000000 1314191396209                              Otis Burell M 0506
_0000000 0605193755872                             Reina Alvelo M 0107
_0000000 0609193802845                                Iola Imai M 1101
_0000000 0445190754369                                Rico Soni M 1104
_0000000 1610199657688                              Yu Pickrell M 0301
_0000000 1110191910543                     Roselia Eichelberger M 0306
_0000000 1847197415418                             Karan Maheux F 0308
_0000000 1039191334875                            Stacia Zepeda M 0201
_0000000 1214190470876                          Verline Feltman M 0505
_0000000 1325191263728                            Nadine Steven M 0502
_0000000 1811190396404                              Eusebia Mok F 1104
_0000000 0320197673960                            Hulda Ebright M 0823
_0000000 1127195630576                              Ninfa Dahms F 0308
_0000000 0527195741533                            Justin Cambra M 0201
_0000000 0444197020496                          Lazaro Whitmire M 1601
_0000000 1428194588133                              Lily Ramage M 0701
_0000000 0804195183578                              Tawana Aube F 0826
_0000000 0839193123542                            Rashad Bester F 0505
_0000000 0749191887872                            Blaine Palomo F 1701
_0000000 1417193769662                             Eustolia Apo F 0823
_0000000 1029198357578                           Geraldo Canton F 1701
_0000000 1131197330738                               Royal Papp F 0601
_0000000 1517196355556                        Albertha Althouse F 0201
_0000000 0609198114291                            Marline Kuehn M 0318
_0000000 0346192592913                        Concetta Banvelos M 1501
_0000000 1120196689039                        Mitchell Braswell M 0401
_0000000 0743190105556                            Eve Mcwhorter M 1501
_0000000 0620193643543                              Scott Dolan M 0107
_0000000 0837197461765                            Jerica Redmon M 0308
_0000000 1214198878266                             Chong Culley M 1601
_0000000 0137193242416                          Nathanael Maier F 1104
_0000000 0319197152852                         Sherie Adolphsen M 0318
_0000000 0216193534139                              Hui Follett M 1401
_0000000 0135192845261                          Rebecka Fiorita F 0901
_0000000 0725195507222                           Keenan Kerekes F 0506
_0000000 1241191886705                           Phoebe Coonrod M 0826
_0000000 0847193450681                         Israel Hashimoto F 1401
_0000000 1041194617517                             Lavina Ikerd M 0107
_0000000 1208195621581                              Kenna Miles M 0401
_0000000 0213192521558                        Charlesetta Dobbs M 0401
_0000000 1032191981245                        Liane Oberholtzer F 0506
_0000000 0126194117987                            Cinda Beckler F 0823
_0000000 1215192690395                          Jeanett Sylvain F 0318
_0000000 1525197406699                           Susanna Smiley M 1501
_0000000 1535190254397                               Ji Wengerd F 1701
_0000000 1542197710892                        Geralyn Wickliffe F 0318
_0000000 0520195994832                               Zoraida Ku M 0306
_0000000 1627190137977                             Lahoma Sherk F 1101
_0000000 1202197634435                           Jaimie Wireman F 0801
_0000000 1643197377582                            Rodger Goertz F 0409
_0000000 0916197207640                             Ofelia Legge M 0401
_0000000 1204195986890                              Piper Koser M 0318
_0000000 1735191908322                             Bennett Reis F 1701
_0000000 0426190563197                              Sue Derouen F 0306
_0000000 1038191201182                           Debbra Germain F 0101
_0000000 0316196396112                            Leonida Munch M 0308
_0000000 0831198447114                            Carry Allgood F 0826
_0000000 1326197601615                              Danny Foran F 0318
_0000000 0521193134533                             Edison Carra M 1601
_0000000 0902192308880                              Silas Mauzy F 0101
_0000000 0232195379882                        Hildegard Carrara M 1101
_0000000 1649191076950                      Marvella Waterfield M 0318
_0000000 0321191156609                      Thomasine Markowski M 0501
_0000000 1016190208899                             Chia Whitted M 0301
_0000000 0616191117089                           Lyndsay Corona F 0308
_0000000 1448195163831                             Marilee Lank M 1201
_0000000 0503194195604                             Gayla Harrop F 1701
_0000000 0629197062648                          Kerrie Johanson F 0409
_0000000 0817198681348                           Angelena Lokey F 1104
_0000000 0226194712064                          Kelley Mushrush F 0826
_0000000 0319193284206                           Cynthia Araujo F 0409
_0000000 0429196057472                               Tyler Hand M 0901
_0000000 0531193030051                           Joanna Sublett M 0306
_0000000 1441196869480                               Curt Bruno M 0823
_0000000 0634195164171                             Adolfo Andry M 1401
_0000000 1745199084448                               Elisa Chon M 1101
_0000000 0219191280372                              Billye Kiel M 0801
_0000000 0524198253882                           Phillis Cancel M 1001
_0000000 1738196317303                          Carlton Mongeau M 0826
_0000000 1315197414808                              Lauran Kram M 0601
_0000000 0847190231465                     Jacqualine Desjardin M 1101
_0000000 1001191824944                            Candy Mannino F 1001
_0000000 0833193996575                            Mertie Bhatti M 1501
_0000000 0524193934664                          Alyse Culbreath M 0308
_0000000 0105196883018                        Lauren Figueiredo M 0404
_0000000 0613195097757                           Leatrice Frase F 0401
_0000000 1613194830778                               Edith Agee M 0308
_0000000 0635190630133                           Claudette Webb F 0506
_0000000 1804195399373                         Robt Vandervoort F 0826
_0000000 0542192560188                             Sari Milford F 0308
_0000000 0948194333891                            Jamaal Broman F 1601
_0000000 1405197374133                    Christopher Montalvan F 0415
_0000000 1613197132016                            Kandis Little M 0415
_0000000 1743190490500                          Alvaro Petrosky M 0107
_0000000 0813197077909                        Clorinda Molinari M 0901
_0000000 1234198549106                              Audrey Haas F 0801
_0000000 0411191149210                           Gisele Grignon F 0826
_0000000 0540193168392                            Sonia Zeigler M 0901
_0000000 0505193011755                            Freddy Delano F 0308
_0000000 0622195025436                                Erin Tuft M 1101
_0000000 0916198380456                              Tosha Mowry M 0308
_0000000 1605192990838                            Perla Keister M 1501
_0000000 1421193782908                            Ligia Bitting F 1001
_0000000 0339194905385                               Nicola Pew M 0901
_0000000 1203197960319                                Jen Holen F 0801
_0000000 1244193647081                             Tanika Tigue F 0506
_0000000 1712191084710                          Dulcie Kindrick M 0601
_0000000 1222196735570                         Noelia Olszewski M 1201
_0000000 1650195000964                        Paulene Choiniere F 0826
_0000000 0835192102015                        Athena Digiovanni M 0826
_0000000 0241195450378                         Shenita Priester F 1601
_0000000 0316196527306                             Tommye Vogus F 0409
_0000000 0313197126959                            Quinn Wrigley M 0201
_0000000 0612196746955                            Tatum Arnwine F 0826
_0000000 1837199361971                         Viviana Cistrunk M 0415
_0000000 0146197504855                            Han Mccardell F 1101
_0000000 1401196239590                       Petronila Entrekin F 0505
_0000000 1816190587626                                Erma Buff F 0823
_0000000 1427196234988                           Blaine Deblois F 0505
_0000000 1837199033841                         Basilia Mcelwain F 0301
_0000000 1740192647815                           Lisa Nicodemus M 1601
_0000000 1533195568879                            Loralee Lusby F 0415
_0000000 1023196607975                           Shawana Abboud F 0306
_0000000 1522198574709                             Karri Davila F 1201
_0000000 0923190954258                            Halley Goulet M 1104
_0000000 1840191680762                       Leonida Eisenstein F 0826
_0000000 1709199423816                        Kristen Navarrete F 0318
_0000000 0934196803469                       Georgeanna Huffman F 0301
_0000000 1213191249155                           Cathi Warfield M 1101
_0000000 1450196630448                            Clyde Lorence F 0801
_0000000 1814193028905                              Elinor Krug M 1601
_0000000 1225199429612                             Juli Pinkley F 0501
_0000000 1236199216164                      Katherin Degenhardt F 0502
_0000000 1221196111815                            Mitch Russell M 0201
_0000000 1317196234997                              Tegan Grubb F 0306
_0000000 0624197571361                           Maudie Drucker M 1101
_0000000 0441199353773                           Kayleigh Spady F 0502
_0000000 0329198219708                            Takako Gagnon M 0107
_0000000 1311191306932                            Brigid Belton M 0201
_0000000 0936194249614                            Mammie Searle M 1501
_0000000 0242199416600                           Shelba Schertz M 0306
_0000000 0617197052187                             Shawna Check F 0301
_0000000 0628194576920                             Santos Drown F 0107
_0000000 0441199138436                           Rubye Trottier F 1001
_0000000 0313197994019                              Julee Santi F 0506
_0000000 0134191538892                            Chadwick File M 0501
_0000000 1650197143291                             Loria Casler M 0506
_0000000 0708196933611                             Hilma Briese F 0502
_0000000 0828195921396                              Arlen Ohler F 0823
_0000000 1136191578280                           Karlyn Aylward M 0823
_0000000 1519192662329                            Mindi Pribble F 0601
_0000000 0116196469212                          Denisha Lumpkin M 0801
_0000000 1715194442037                             Isaias Crary F 0107
_0000000 0134194070305                             Zora Metheny M 1401
_0000000 0249194143922                             Marita Stell M 0404
_0000000 0831195491172                           Keven Escudero M 0505
_0000000 1721199751068                         Willis Sundstrom F 1201
_0000000 1229197862615                             Cassie Pajak F 0701
_0000000 1540191194641                         Belinda Burnette M 0401
_0000000 0318191795100                             Greta Risley F 0308
_0000000 0611191987940                            Jolene Hafley M 0301
_0000000 0635193918425                      Yulanda Mcglaughlin F 0301
_0000000 1216199124713                            Eldon Buitron M 0306
_0000000 1638190904105                              Pearly Saur M 1601
_0000000 1125195925117                         Jesusita Vanzile M 0901
_0000000 0644190954587                            Pearl Barrick M 0404
_0000000 0818193370343                            Angel Dimmitt M 0318
_0000000 0241192878890                          Trista Vanmeter M 0505
_0000000 0440192169172                               Dian Kearl F 0107
_0000000 0830199172152                            Trent Hinnant F 1104
_0000000 0345192923382                             Jonna Wenner M 1201
_0000000 0630192785773                            Shery Bublitz F 0401
_0000000 0349196824341                          Elisha Prentice M 0415
_0000000 1731195500303                           Dulcie Halbert M 0107
_0000000 1219192624210                              Emely Chism F 0415
_0000000 1124192513238                          Glennis Corella F 0415
_0000000 0831195934073                            Janene Gracie M 0502
_0000000 0240191167502                         Wilda Neumeister F 0318
_0000000 1612195041726                          Kristeen Quijas M 0409
_0000000 1723199355469                              Mason Barry M 0308
_0000000 1407195740660                              Antwan Pahl F 0318
_0000000 0536196604057                               Hoa Bonnie M 0505
_0000000 0725194319559                           Julene Waldrip F 1401
_0000000 1341198577574                             Marth Hollis M 0306
_0000000 0916193769239                         Merideth Cashman F 0101
_0000000 0950199258358                         Deirdre Browning M 1001
_0000000 0223191063625                             Elvis Chavis F 0901
_0000000 0306194215185                             Piedad Mowen F 0401
_0000000 0531196915851                            Golden Cobble M 0107
_0000000 0138190553144                       Henrietta Molinari F 0505
_0000000 1143197310286                           Florine Bouska M 0318
_0000000 0412194203792                              Hye Colonna F 0823
_0000000 0126196071569                          Elia Macdonnell F 0601
_0000000 1250192234999                          Francina Lipsky F 0501
