Avail_head:    495
Re-index:        0
Structure:
 M:Marked
 B:Blank_Space
 R:Reference
 N:Number
 I:Client_ID
MBRRRRRRRBNNNNNNNNBIIIIIIIIIIIII
_         23909670 1830198015713
_         25787809 1227199338123
_         25492030 1116194972268
_         23623649 1718192417507
_         25830931 1510195527386
_         25311208 1150195847396
_         23298802 0134194611152
_         28541266 0627191468647
_         28275027 1047190026573
_         20687128 1626190436925
_         25498608 0611194134226
_         24124687 0442196906450
_         20631818 1402190930245
_         29361168 1711192648217
_         24890400 0403197765160
_         20096130 1309192215571
_         20272833 0329199310804
_         27628101 0922192414284
_         25619729 1327192266042
_         21222310 1328194185692
_         26616809 1543191350831
_         29348186 1507191046229
_         23898707 0202197236479
_         24395739 0506191455201
_         20407035 0629190422689
_         21560118 1709191820841
_         22965075 0603199434202
_         27751268 1309194704488
_         22982509 0317190119912
_         27378030 1829195329495
_         21484661 0750197583921
_         26375346 0712195130502
_         27049942 0539193062495
_         24431920 1550196256190
_         20623217 1311198242886
_         20916303 1731199389881
_         28495467 1312191998464
_         23019760 0341195054038
_         28920554 0843195658530
_         29830746 1814193919915
_         22400818 1133195690964
_         22957066 0811195192756
_         29277118 1237199321243
_         28628658 1618195016087
_         24268689 1812194635851
_         25099947 1723191786403
_         21250640 1011193826535
_         28688426 0902195241532
_         21967135 0921199395564
_         28365356 1644194092577
_         25158311 0702193422102
_         20510310 1534198841273
_         28579458 1249192738807
_         26836221 0348196458582
_         27774135 0840197196474
_         26666398 1004190956373
_         27295786 1345199279423
_         23369495 1821197525554
_         28187184 1642190555738
_         24390979 1121198194212
_         24871288 0239191655049
_         29664224 1047193934537
_         28216523 0508191519592
_         28272585 1008191917546
_         26540514 0203196890728
_         27228093 0903194962478
_         22190528 1533191102305
_         23423618 0910197184070
_         23031772 1428198411395
_         23080209 1324191860835
_         23127338 1015195498862
_         20563009 1337191897236
_         28274405 0847190548470
_         23796779 1036196520106
_         22005142 1117195113324
_         24727210 1305191179198
_         24193569 1225196001387
_         21845563 1535199339859
_         25347544 1240192220732
_         27883510 1311198291828
_         28412527 0944192827314
_         23164931 1438199242834
_         27974413 1432191427979
_         20677470 0821198160998
_         20030462 0905199796293
_         22825101 0825190219331
_         23352426 1234194417372
_         21313102 1630193370595
_         26748870 1731194244885
_         22344261 1433197873111
_         25750202 1606192659685
_         29200713 0239195399935
_         29157197 0328190407649
_         29793230 0333194679278
_         26212162 0911190212359
_         23852274 0219193893254
_         20991240 1006196136634
_         25694580 1307192814664
_         27124556 1233191172202
_         26402276 0412190548029
_         25517600 0119192070377
_         20706392 1119197671066
_         20947261 0849198440143
_         28294628 1707191413725
_         28955662 1129192186049
_         22825541 1831192353467
_         20530480 1020192292923
_         29637853 0222194487437
_         24725672 0221198488203
_         23577312 0711191413656
_         21653316 0949197674143
_         20169718 1333199415518
_         26612359 1650197251368
_         22447914 1032196902124
_         25298063 0249197776516
_         24796875 1706198742539
_         28934568 0827196721455
_         21403840 0246196088766
_         20567957 1642190313135
_         20206102 1146193566341
_         20798844 1744199356755
_         26047640 1139190772821
_         27027586 1820197061154
_         27637035 1419194859281
_         21573563 0714194046977
_         25091248 1723199368390
_         29008125 0808195947414
_         28135784 0932190183611
_         29390984 1247190077931
_         26491693 1137196719617
_         21332540 0619191326519
_         26677904 1510190943186
_         28897108 1229198890683
_         22948532 1824199466662
_         22453707 1805193156911
_         25473340 1849198371611
_         22451460 1538197720131
_         27680540 0145198849836
_         21025490 1040190859049
_         24071644 0848197503212
_         29052625 1529190758369
_         20059669 0833198828070
_         24225242 1340196418731
_         29625616 0905191809738
_         24504578 0505191830194
_         21133102 0342198890124
_         28842169 1423193152278
_         25234851 1123196746527
_         26671307 1336191678891
_         20953106 1407192360290
_         22002946 0731198907746
_         20077502 0605195730524
_         25752555 0113198627989
_         28520693 0930195168900
_         27912924 0922195389806
_         20612900 0306193474966
_         26141895 0504198832168
_         26406147 0724198837221
_         28327449 1049198953456
_         24866499 1124199110100
_         25993035 1438191056838
_         21207933 0811192079975
_         22902550 0303192253287
_         29915772 1044197142400
_         23611824 0908195546638
_         28599928 1449196805076
_         20723647 0817194308889
_         23993010 0501192361646
_         27023956 1743198554912
_         27707427 0135199667938
_         26676391 1624193364859
_         21695588 0437195513283
_         28187230 0810191296008
_         23882899 0331191178467
_         24380967 1605198017898
_         22783398 1738194221081
_         21889198 0223198363469
_         25218290 0535193765053
_         22827307 1444198167608
_         22666652 0540193537239
_         29602611 0725192125345
_         28003434 1237198375354
_         28241360 0224198467763
_         26979747 1406195653334
_         23193725 0108190639132
_         26394517 0704198557570
_         21411682 1801193423179
_         29648529 1502199266177
_         23866161 0833191189668
_         20076580 0242197676635
_         20103514 0750194176277
_         23195833 1648191341385
_         25720587 1845196656611
_         26609695 1444192824442
_         21763866 1338196778662
_         25939124 0138199698126
_         21778599 1141194324396
_         22961660 1115199287551
_         22654539 0713197059774
_         24961110 1126197379308
_         24347235 0542194550367
_         27442403 0636197219511
_         20934700 1343191492591
_         22408560 1624198941253
_         26722299 1612195897978
_         24254796 1107195505368
_         21213167 1549198062334
_         20684285 1211191856325
_         28676599 0425196070421
_         29805159 0537194724820
_         20573786 1238191593564
_         20652336 1703198295766
_         27317984 1320199200175
_         26055871 1511198561329
_         21323006 1834196543979
_         29021783 0246199134184
_         22399737 0850195313777
_         28135100 1848193967158
_         22733067 0643198700362
_         22651802 1717192403447
_         25857379 1413192338671
_         20061316 0133192771517
_         27189824 0926196039709
_         21833617 0338194695282
_         24190179 1510191390836
_         24687868 1633192818372
_         21940041 0746195693409
_         21664419 1435198515233
_         20265587 1121191105924
_         26781370 0213195848061
_         21584745 1236190494542
_         27860744 1335190256291
_         21864221 0743197167572
_         28284967 0506198382011
_         24577354 0648198297544
_         20199270 0331192860428
_         29262246 0811197682256
_         24772177 1840196459880
_         23649147 0530196616755
_         26116326 1203194452679
_         27186568 0449190279577
_         27172064 0805195205197
_         21436006 0529198043323
_         23450586 0836199179753
_         20047345 1137191866526
_         29366438 1519193482179
_         26159506 1626198808815
_         27041691 0611193775181
_         24794964 1621191849338
_         22091350 1501193109178
_         29007477 1514198973505
_         29857010 1526192982886
_         27013927 1118197675572
_         28812136 1017194913215
_         26068185 1314194978169
_         27646615 1818193566409
_         26275488 1813194731587
_         23383396 0346194166457
_         24241321 1602190676520
_         26063831 1702195037511
_         24693968 0408194514519
_         23799072 0507194065940
_         23800341 1633199188679
_         26844129 0430193076969
_         29524217 1105193742829
_         23878587 0602199686224
_         27502602 0603195132275
_         29757591 1721197425087
_         26228744 1845197940982
_         21814603 1607198843907
_         23922624 1806190477766
_         22573420 1044191420561
_         21438658 1427193849105
_         25227053 1635196015967
_         28583615 0649197295191
_         25519003 1111194910509
_         24558996 0738193598147
_         25660089 1208196604007
_         20350035 0931199085690
_         27604243 1031192847486
_         24481149 1508196308062
_         20577330 1529198859196
_         24316667 0717193430374
_         26225851 1738194283634
_         22177750 0111190972411
_         29199689 0303198103421
_         20196622 0829196444922
_         22910148 1007194903999
_         29194461 1431193364755
_         21230522 1202197721443
_         24216522 0624193536387
_         21443583 1304190579275
_         26418532 0150197387383
_         29950383 0145199025067
_         29255481 1821194251122
_         29250815 0332191030213
_         24902340 0229194711293
_         20741614 1216196183397
_         20171348 1515198355300
_         29490660 1020198447152
_         26770785 1439196627306
_         22273924 0325198527944
_         27589772 0627190567713
_         22102792 1822191576411
_         23752522 1443198743912
_         24276471 0341198857782
_         25983464 0928193386920
_         23676978 0241190042060
_         27922674 1139195761790
_         21097486 0602190867489
_         29576651 1513192584423
_         21466032 1129192764729
_         21228151 0833195026686
_         20273461 0936193909675
_         29570066 1631199148365
_         27280868 0425190999098
_         20111332 1424198013097
_         25037500 1703197488164
_         29910402 0222195097974
_         26715117 1511194177852
_         29769872 1519192809608
_         23240397 0625195434363
_         28289112 1631197252005
_         25263979 0635191391868
_         22861522 1335196654307
_         25149619 1602193203128
_         29079270 1715196516959
_         23840014 1306197060477
_         21853736 1743191981403
_         24802973 0741193972260
_         27828817 0617197407631
_         23808769 1415194608710
_         29751626 0906198695081
_         25731555 1723191370221
_         27284013 1533193779998
_         21426344 0132195038994
_         22151804 0706199628005
_         26433287 1136196761796
_         27326631 0912196175931
_         26469085 1424193784672
_         25507651 0923190429286
_         26855488 0925194060356
_         26676002 0607197549402
_         28354914 0203191755973
_         21217914 0949194764908
_         25971738 1827197092644
_         21370248 1812199549949
_         24602188 0128190678005
_         22146563 1826192980809
_         24799673 1831191842801
_         25219509 1101192450736
_         29773595 1110192285294
_         29963109 0531192272041
_         26621622 0648190997618
_         24950191 0143193977163
_         28928813 1806198226350
_         24013076 1836198195624
_         23769602 1746194894123
_         22256328 0547196386827
_         26115335 0228199177028
_         23487792 1033192961261
_         29812673 0125196089335
_         24966234 0322197880615
_         27754961 0631192851220
_         24287867 0522197459558
_         25896600 1629195755491
_         24948926 1837198290215
_         23730486 0147190587563
_         25671059 0748199017288
_         29486493 1003195961024
_         22237397 0135199367113
_         24367090 1119191046575
_         25962564 0525194521381
_         26357733 1216193316516
_         23466625 1244199097425
_         20124584 1206197786290
_         27944827 1131196304039
_         24812289 0634190147375
_         21145511 1340199459173
_         24364600 1526198784848
_         23141005 1120198590176
_         29345179 0626192504787
_         25507844 1403192765021
_         24770236 0132197162219
_         29562635 0713196697283
_         29330677 1736195337062
_         20585284 1010192683446
_         21207077 0121196592908
_         24233818 0914192231186
_         26455887 1538196965151
_         24844522 0420199164814
_         27288795 0142198287324
_         29623977 0831199454488
_         27975323 0410191940307
_         21108172 1108192738546
_         26163654 1748195014047
_         23492047 1708194895798
_         21148036 0928190423639
_         26697915 1250193396487
_         20008263 1027192907964
_         20173577 1406190684663
_         28149410 0529191558478
_         27463272 0708191254539
_         23885903 0821195100923
_         23875048 0139191474994
_         27377617 1350198951965
_         21498173 1714191682090
_         23457432 0710195479033
_         25580455 0423196194217
_         26155523 1744193536141
_         23624014 0649191958760
_         21877436 0109199779272
_         28804686 1850191035806
_         20526771 0223192718659
_         24067684 0513197536369
_         28100187 1333192633090
_         25354350 0518199555721
_         29469907 0928190419816
_         28812072 0737192420876
_         28886988 0306198081785
_         21856322 1427198879844
_         27846238 0317190980567
_         23372386 1019191269110
_         23801680 0114190634333
_         25988765 1215191015752
_         23890648 0325195302534
_         28962246 0647199643257
_         28421235 1740197911551
_         28356254 1028191826173
_         22117017 0814194334622
_         26777641 0824198514392
_         20070414 0316196405715
_         29697265 1420198293100
_         26108515 0842196368932
_         25443120 1005191501515
_         29832022 1847195068096
_         26465275 1120196015775
_         24501901 1739196383605
_         24499854 1310196942007
_         22751705 1307194004871
_         27384961 1627196719747
_         21468191 0921191795644
_         20124535 0946195079020
_         24906859 1501192555553
_         28757053 0914191314304
_         29153731 1445190115390
_         29229464 0230191783520
_         29295313 1734195764903
_         23631409 0838198230083
_         26546891 0126191804397
_         26325766 1807190046689
_         21423848 1110191809928
_         21547498 0646193779841
_         20996644 1037192515800
_         24550097 0147198639139
_         28769282 0840194595593
_         22234091 1842199613212
_         24814732 1502195182396
_         23979620 1609193502022
_         27495154 1040197434262
_         25498842 0207191717020
_         28354180 0337190216415
_         20335404 1147199339977
_         21468863 0306193510121
_         20175783 1605193380224
_         28278743 1102196941492
_         28530885 1641194073094
_         23824584 1045196190876
_         23475863 0304199719975
_         27585966 1225197609980
_         27297748 0715193895747
_         28353379 0601196139723
_         28834421 1605196300502
_         24842339 0721199474768
_         25152561 1501193890153
_         25193678 0807190609684
_         21692426 0138195285035
_         21475449 0923194373675
_         20915069 1445193474587
_         27302627 0445196509996
_         24155747 1447195572949
_         24857452 0712195921277
